"initial_alias","converted_alias","name","description","namespace"
"214321_AT","ENSG00000136999","CCN3","cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"207360_S_AT","ENSG00000101188","NTSR1","neurotensin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8039]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"214921_AT","ENSG00000156113","KCNMA1","potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"221584_S_AT","ENSG00000156113","KCNMA1","potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"221583_S_AT","ENSG00000156113","KCNMA1","potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"228414_AT","ENSG00000156113","KCNMA1","potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"212154_AT","ENSG00000169439","SDC2","syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212158_AT","ENSG00000169439","SDC2","syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212157_AT","ENSG00000169439","SDC2","syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205226_AT","ENSG00000104213","PDGFRL","platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205990_S_AT","ENSG00000114251","WNT5A","Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213425_AT","ENSG00000114251","WNT5A","Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"218404_AT","ENSG00000086300","SNX10","sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"204678_S_AT","ENSG00000135750","KCNK1","potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"204679_AT","ENSG00000135750","KCNK1","potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205870_AT","ENSG00000168398","BDKRB2","bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1563742_AT","ENSG00000285294","LINC00842","long intergenic non-protein coding RNA 842 [Source:HGNC Symbol;Acc:HGNC:44989]","AFFY_HG_U133_PLUS_2"
"203074_AT","ENSG00000264230","ANXA8L1","annexin A8 like 1 [Source:HGNC Symbol;Acc:HGNC:23334]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203074_AT","ENSG00000265190","ANXA8","annexin A8 [Source:HGNC Symbol;Acc:HGNC:546]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1570140_AT","ENSG00000285402","None","novel transcript","AFFY_HG_U133_PLUS_2"
"219202_AT","ENSG00000129667","RHBDF2","rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210854_X_AT","ENSG00000130821","SLC6A8","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210854_X_AT","ENSG00000198555","None","solute carrier family 6 (neurotransmitter transporter, creatine), member 8 (SLC6A8) pseudogene","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210854_X_AT","ENSG00000214617","SLC6A10P","solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213843_X_AT","ENSG00000130821","SLC6A8","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213843_X_AT","ENSG00000198555","None","solute carrier family 6 (neurotransmitter transporter, creatine), member 8 (SLC6A8) pseudogene","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213843_X_AT","ENSG00000214617","SLC6A10P","solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"215812_S_AT","ENSG00000130821","SLC6A8","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"215812_S_AT","ENSG00000198555","None","solute carrier family 6 (neurotransmitter transporter, creatine), member 8 (SLC6A8) pseudogene","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"215812_S_AT","ENSG00000214617","SLC6A10P","solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210854_X_AT","ENSG00000130821","SLC6A8","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210854_X_AT","ENSG00000198555","None","solute carrier family 6 (neurotransmitter transporter, creatine), member 8 (SLC6A8) pseudogene","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210854_X_AT","ENSG00000214617","SLC6A10P","solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213843_X_AT","ENSG00000130821","SLC6A8","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213843_X_AT","ENSG00000198555","None","solute carrier family 6 (neurotransmitter transporter, creatine), member 8 (SLC6A8) pseudogene","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213843_X_AT","ENSG00000214617","SLC6A10P","solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202219_AT","ENSG00000130821","SLC6A8","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"215812_S_AT","ENSG00000130821","SLC6A8","solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"215812_S_AT","ENSG00000198555","None","solute carrier family 6 (neurotransmitter transporter, creatine), member 8 (SLC6A8) pseudogene","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"215812_S_AT","ENSG00000214617","SLC6A10P","solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"201596_X_AT","ENSG00000111057","KRT18","keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"226187_AT","ENSG00000163624","CDS1","CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"205709_S_AT","ENSG00000163624","CDS1","CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"226185_AT","ENSG00000163624","CDS1","CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"203888_AT","ENSG00000178726","THBD","thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"237252_AT","ENSG00000178726","THBD","thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"203887_S_AT","ENSG00000178726","THBD","thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205113_AT","ENSG00000104722","NEFM","neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203379_AT","ENSG00000117676","RPS6KA1","ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205309_AT","ENSG00000130768","SMPDL3B","sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1554050_AT","ENSG00000130768","SMPDL3B","sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]","AFFY_HG_U133_PLUS_2"
"215465_AT","ENSG00000144452","ABCA12","ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209885_AT","ENSG00000173156","RHOD","ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"31846_AT","ENSG00000173156","RHOD","ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2,AFFY_HG_U95A,AFFY_HG_U95AV2"
"206099_AT","ENSG00000027075","PRKCH","protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"206099_AT","ENSG00000258989","None","novel protein","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"218764_AT","ENSG00000027075","PRKCH","protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"230124_AT","ENSG00000027075","PRKCH","protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"219836_AT","ENSG00000177494","ZBED2","zinc finger BED-type containing 2 [Source:HGNC Symbol;Acc:HGNC:20710]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209183_S_AT","ENSG00000165507","DEPP1","DEPP1 autophagy regulator [Source:HGNC Symbol;Acc:HGNC:23355]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209182_S_AT","ENSG00000165507","DEPP1","DEPP1 autophagy regulator [Source:HGNC Symbol;Acc:HGNC:23355]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"207790_AT","ENSG00000137269","LRRC1","leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"218816_AT","ENSG00000137269","LRRC1","leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"221610_S_AT","ENSG00000178078","STAP2","signal transducing adaptor family member 2 [Source:HGNC Symbol;Acc:HGNC:30430]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"201015_S_AT","ENSG00000173801","JUP","junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203233_AT","ENSG00000077238","IL4R","interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"236009_AT","ENSG00000112378","PERP","p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"222392_X_AT","ENSG00000112378","PERP","p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"217744_S_AT","ENSG00000112378","PERP","p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1555397_AT","ENSG00000176658","MYO1D","myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]","AFFY_HG_U133_PLUS_2"
"212338_AT","ENSG00000176658","MYO1D","myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"208153_S_AT","ENSG00000086570","FAT2","FAT atypical cadherin 2 [Source:HGNC Symbol;Acc:HGNC:3596]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1554511_AT","ENSG00000113645","WWC1","WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435]","AFFY_HG_U133_PLUS_2"
"213085_S_AT","ENSG00000113645","WWC1","WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"241950_AT","ENSG00000113645","WWC1","WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"216074_X_AT","ENSG00000113645","WWC1","WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"229180_AT","ENSG00000113645","WWC1","WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"219683_AT","ENSG00000104290","FZD3","frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"239082_AT","ENSG00000104290","FZD3","frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"227524_AT","ENSG00000104290","FZD3","frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"227499_AT","ENSG00000104290","FZD3","frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"206683_AT","ENSG00000197279","ZNF165","zinc finger protein 165 [Source:HGNC Symbol;Acc:HGNC:12953]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"204466_S_AT","ENSG00000145335","SNCA","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"204467_S_AT","ENSG00000145335","SNCA","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"207827_X_AT","ENSG00000145335","SNCA","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"211546_X_AT","ENSG00000145335","SNCA","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"236081_AT","ENSG00000145335","SNCA","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"202525_AT","ENSG00000052344","PRSS8","serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"222169_X_AT","ENSG00000125731","SH2D3A","SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"219513_S_AT","ENSG00000125731","SH2D3A","SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"206356_S_AT","ENSG00000141404","GNAL","G protein subunit alpha L [Source:HGNC Symbol;Acc:HGNC:4388]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"206355_AT","ENSG00000141404","GNAL","G protein subunit alpha L [Source:HGNC Symbol;Acc:HGNC:4388]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213924_AT","ENSG00000141404","GNAL","G protein subunit alpha L [Source:HGNC Symbol;Acc:HGNC:4388]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"214071_AT","ENSG00000141404","GNAL","G protein subunit alpha L [Source:HGNC Symbol;Acc:HGNC:4388]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205780_AT","ENSG00000100290","BIK","BCL2 interacting killer [Source:HGNC Symbol;Acc:HGNC:1051]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203256_AT","ENSG00000062038","CDH3","cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"215243_S_AT","ENSG00000188910","GJB3","gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205490_X_AT","ENSG00000188910","GJB3","gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205491_S_AT","ENSG00000188910","GJB3","gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203144_S_AT","ENSG00000235750","KIAA0040","KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203143_S_AT","ENSG00000235750","KIAA0040","KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"204029_AT","ENSG00000143126","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"36499_AT","ENSG00000143126","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2,AFFY_HG_U95A,AFFY_HG_U95AV2"
"224097_S_AT","ENSG00000158769","F11R","F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"224097_S_AT","ENSG00000270149","None","novel transcript, TSTD1 - F11R readthrough","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"223000_S_AT","ENSG00000158769","F11R","F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"223000_S_AT","ENSG00000270149","None","novel transcript, TSTD1 - F11R readthrough","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"221664_S_AT","ENSG00000158769","F11R","F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"221664_S_AT","ENSG00000270149","None","novel transcript, TSTD1 - F11R readthrough","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"222354_AT","ENSG00000158769","F11R","F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"232960_AT","ENSG00000198088","NUP62CL","nucleoporin 62 C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"220520_S_AT","ENSG00000198088","NUP62CL","nucleoporin 62 C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"228726_AT","ENSG00000021355","SERPINB1","serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"212268_AT","ENSG00000021355","SERPINB1","serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213572_S_AT","ENSG00000021355","SERPINB1","serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"206653_AT","ENSG00000113356","POLR3G","RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"206654_S_AT","ENSG00000113356","POLR3G","RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"219411_AT","ENSG00000102890","ELMO3","engulfment and cell motility 3 [Source:HGNC Symbol;Acc:HGNC:17289]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"216243_S_AT","ENSG00000136689","IL1RN","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212659_S_AT","ENSG00000136689","IL1RN","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"216244_AT","ENSG00000136689","IL1RN","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212657_S_AT","ENSG00000136689","IL1RN","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209114_AT","ENSG00000117472","TSPAN1","tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205190_AT","ENSG00000120756","PLS1","plastin 1 [Source:HGNC Symbol;Acc:HGNC:9090]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"220431_AT","ENSG00000087128","TMPRSS11E","transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"219856_AT","ENSG00000182795","C1orf116","chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"228865_AT","ENSG00000182795","C1orf116","chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"219476_AT","ENSG00000182795","C1orf116","chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"206714_AT","ENSG00000179593","ALOX15B","arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1555416_A_AT","ENSG00000179593","ALOX15B","arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]","AFFY_HG_U133_PLUS_2"
